X,Y
160,244
160,243
160,242
160,241
160,240
160,239
160,238
160,237
160,236
160,235
160,234
160,233
160,232
160,231
160,230
160,229
160,228
160,227
160,226
160,225
160,224
160,223
160,222
160,221
160,220
160,219
160,218
159,217
158,216
157,215
157,214
157,213
157,212
157,211
157,210
157,209
157,208
157,207
157,206
157,205
157,204
157,203
156,202
155,201
154,200
153,199
152,198
151,197
150,196
149,195
148,194
147,194
146,194
145,194
144,194
143,194
142,194
141,194
140,194
139,194
138,194
137,194
136,194
135,194
134,194
133,194
132,194
131,194
130,194
129,194
128,194
127,194
126,194
125,194
124,194
123,194
122,194
121,194
120,194
119,194
118,194
117,194
116,194
115,194
114,194
113,194
112,194
111,194
110,194
109,194
108,194
107,194
106,194
105,194
104,194
103,194
102,194
101,194
100,194
99,194
98,194
97,194
96,194
95,194
94,194
93,194
92,194
91,194
90,194
89,194
88,194
87,194
86,194
85,194
84,194
83,194
82,194
81,194
80,194
79,194
78,194
77,194
76,193
75,193
74,193
73,193
72,193
71,193
70,193
69,193
68,193
67,193
66,193
65,193
64,193
63,193
62,193
61,193
60,193
59,193
58,193
57,193
56,193
55,193
54,193
53,193
52,193
51,193
50,193
49,193
48,193
47,193
46,193
45,193
44,193
43,193
42,193
41,192
41,191
41,190
41,189
41,188
41,187
41,186
41,185
41,184
41,183
41,182
41,181
41,180
41,179
41,178
41,177
41,176
41,175
42,174
43,173
44,172
45,171
46,170
47,169
48,168
49,167
50,166
51,165
52,164
53,164
54,164
55,164
56,164
57,164
58,164
59,164
60,164
61,164
62,164
63,164
64,164
65,164
66,164
67,164
68,164
69,164
70,164
71,164
72,164
73,164
74,164
75,164
76,164
77,164
78,164
79,164
80,164
81,164
82,164
83,164
84,164
85,164
86,164
87,164
88,164
89,164
90,164
91,164
92,164
93,164
94,164
95,164
96,164
97,164
98,164
99,164
100,164
101,164
102,164
103,164
104,164
105,164
106,164
107,164
108,164
109,164
110,164
111,164
112,164
113,164
114,164
115,164
116,164
117,164
118,164
119,164
120,164
121,164
122,164
123,164
124,164
125,164
126,164
127,164
128,164
129,164
130,164
131,164
132,164
133,164
134,164
135,164
136,164
137,164
138,164
139,164
140,164
141,164
142,164
143,164
144,164
145,164
146,164
147,164
148,164
149,164
150,164
151,164
152,164
153,164
154,163
155,163
156,162
156,161
156,160
156,159
156,158
156,157
156,156
156,155
156,154
157,153
157,152
157,151
157,150
157,149
157,148
157,147
157,146
157,145
157,144
157,143
157,142
157,141
157,140
157,139
157,138
157,137
157,136
157,135
157,134
157,133
157,132
157,131
157,130
157,129
157,128
157,127
157,126
157,125
157,124
157,123
156,122
155,121
154,120
153,119
152,118
151,117
150,116
149,115
148,114
147,113
146,112
145,112
144,112
143,112
142,112
141,112
140,112
139,112
138,112
137,112
136,112
135,112
134,112
133,112
132,112
131,112
130,112
129,112
128,112
127,112
126,112
125,112
124,112
123,112
122,112
121,112
120,112
119,112
118,112
117,112
116,112
115,112
114,112
113,112
112,112
111,112
110,112
109,112
108,112
107,112
106,112
105,112
104,112
103,112
102,112
101,112
100,112
99,112
98,112
97,112
96,112
95,112
94,112
93,112
92,112
91,112
90,112
89,112
88,112
87,112
86,112
85,112
84,112
83,112
82,112
81,112
80,112
79,112
78,112
77,112
76,112
75,112
74,112
73,112
72,112
71,112
70,112
69,112
68,112
67,112
66,112
65,112
64,112
63,112
62,112
61,112
60,112
59,112
58,112
57,112
56,112
55,112
54,112
53,112
52,112
51,112
50,112
49,112
48,112
47,112
46,112
45,112
44,112
43,112
42,112
41,112
40,111
40,110
40,109
40,108
40,107
40,106
40,105
40,104
40,103
40,102
40,101
40,100
40,99
40,98
40,97
40,96
40,95
40,94
41,93
42,93
43,93
44,93
45,92
46,92
47,92
48,92
49,92
50,92
51,92
52,92
53,92
54,92
55,92
56,92
57,92
58,92
59,92
60,92
61,92
62,92
63,92
64,92
65,92
66,92
67,92
68,92
69,92
70,92
71,92
72,92
73,91
74,90
75,89
76,88
77,87
78,86
79,85
80,84
81,84
82,84
83,84
84,84
85,84
86,84
87,84
88,84
89,84
90,84
91,84
92,84
93,84
94,84
95,84
96,84
97,84
98,84
99,84
100,84
101,84
102,84
103,84
104,84
105,84
106,84
107,84
108,84
109,84
110,84
111,84
112,84
113,84
114,84
115,84
116,84
117,84
118,84
119,84
120,84
121,84
122,84
123,84
124,84
125,84
126,84
127,84
128,84
129,84
130,84
131,84
132,84
133,84
134,84
135,84
136,84
137,84
138,84
139,84
140,84
141,84
142,84
143,84
144,84
145,84
146,84
147,84
148,84
149,84
150,84
151,84
152,84
153,84
154,84
155,83
156,82
156,81
156,80
156,79
156,78
156,77
156,76
156,75
156,74
156,73
157,72
157,71
157,70
157,69
157,68
157,67
157,66
157,65
157,64
157,63
157,62
157,61
157,60
157,59
157,58
157,57
157,56
157,55
157,54
157,53
157,52
157,51
157,50
157,49
157,48
157,47
157,46
158,45
158,44
159,43
159,42
159,41
160,40
